segment_type,segment_value,rank,product_id,product_category_name_english,avg_review_score,avg_price,total_orders,positive_sentiment_ratio
state,RJ,4,99a4788cb24856965c36a24e339b6058,bed_bath_table,3.9021,88.1671,488.0,0.2
state,RJ,5,53759a2ecddad2bb87a079a1f1519f73,garden_tools,3.8763,54.6574,373.0,0.1387
state,RJ,6,368c6c730842d78016ad823897a372db,garden_tools,3.9227,54.2701,388.0,0.1841
state,RJ,7,389d119b48cf3043d311335e499d9c6b,garden_tools,4.1131,54.6954,392.0,0.1531
state,RJ,8,aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,4.0191,71.3641,527.0,0.2201
state,RJ,9,c4baedd846ed09b85f78a781b522f126,garden_tools,4.2013,100.5975,149.0,0.2282
state,RJ,10,52c80cedd4e90108bf4fa6a206ef6b03,garden_tools,4.1864,173.6912,118.0,0.1949
state,RN,1,480be8d20c4b6a7df1eae0f2c17f2db2,books_general_interest,5.0,34.0,9.0,0.0
state,RN,2,e5f3a09149ee7db697907f61e7366267,books_general_interest,4.8889,34.0,9.0,0.1111
state,RN,3,bb50f2e236e5eea0100680137654686c,health_beauty,4.2205,327.6154,195.0,0.2359
state,RN,4,c028e45b1d245ae576fcf069f68265ed,pet_shop,4.0,164.0,5.0,1.0
state,RN,5,431d674f9a4fbd0957ecf6ba3fcb6899,telephony,4.3208,279.593,53.0,0.2642
state,RN,6,53b36df67ebb7c41585e8d54d6772e08,watches_gifts,4.1906,116.6669,323.0,0.2012
state,RN,7,97017430754804328eb9597b7f85da03,telephony,4.1618,28.8306,69.0,0.1594
state,RN,8,389d119b48cf3043d311335e499d9c6b,garden_tools,4.1131,54.6954,392.0,0.1531
state,RN,9,0cfc9fea40ee0f7006d150fbdf3fa808,books_general_interest,5.0,34.0,3.0,0.0
state,RN,10,6cdd53843498f92890544667809f1595,health_beauty,4.3072,350.8346,156.0,0.1731
state,RO,1,c23381297fa734ea441a15d723199fb5,computers_accessories,2.8571,28.0,7.0,0.0
state,RO,2,6ff1fc9209c7854704a4f75c9fac41b4,agro_industry_and_commerce,4.8333,25.8333,6.0,0.1667
state,RO,3,99a4788cb24856965c36a24e339b6058,bed_bath_table,3.9021,88.1671,488.0,0.2
state,RO,4,84d0e98e468edffdfe4f1f5b178d4ecc,sports_leisure,2.6667,104.0,9.0,0.3333
state,RO,5,20ab1de6964467372e314a0e84d6719b,stationery,5.0,58.0,7.0,0.0
state,RO,6,caf1ca4c82e6ab734903a3407795f556,computers_accessories,4.5,104.5,4.0,0.0
state,RO,7,e891d4a9622cae3b9fc2ec558bda155b,,4.4545,27.0,11.0,0.2727
state,RO,8,880be32f4db1d9f6e2bec38fb6ac23ab,toys,4.34,43.9739,99.0,0.12
state,RO,9,3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,4.2096,149.9365,274.0,0.2336
state,RO,10,104b9503ee57d0aa2cd3a6448f242636,costruction_tools_garden,4.2,47.348,5.0,0.2
state,RR,1,28e6a89f22da7a12c26de9eaac8631a2,furniture_decor,5.0,201.55,2.0,0.0
state,RR,2,3938defa878985e56e22db94bbdea2ff,sports_leisure,4.6667,202.5,6.0,0.3333
state,RR,3,ba92b5a0701d2f820ba6ca8f8c86294f,bed_bath_table,4.6667,259.9,6.0,0.3333
state,RR,4,5a848e4ab52fd5445cdc07aab1c40e48,,4.1179,122.99,197.0,0.2081
state,RR,5,7ce94ab189134e2d3c05f496d635419c,electronics,4.0566,13.65,106.0,0.1792
state,RR,6,1fe8e6e01596885617fa1c90d29c2f81,health_beauty,3.6364,83.9127,11.0,0.0
state,RR,7,6dab56beb5263f0d554cae5c55809208,health_beauty,3.6,29.65,6.0,0.1667
state,RR,8,77ff4f618d7c0d6b442ecdf5f02f6a74,sports_leisure,1.0,149.9,2.0,0.0
state,RR,9,1f0d72fdb89c51b0b2fb2dd7baa63a8a,home_appliances,5.0,125.19,2.0,0.0
state,RR,10,6f8c25b3c340c81759238ef485d78f23,furniture_decor,5.0,45.0,1.0,0.0
state,RS,1,422879e10f46682990de24d770e7f83d,garden_tools,3.9463,54.9116,484.0,0.1848
state,RS,2,aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,4.0191,71.3641,527.0,0.2201
state,RS,3,99a4788cb24856965c36a24e339b6058,bed_bath_table,3.9021,88.1671,488.0,0.2
state,RS,4,368c6c730842d78016ad823897a372db,garden_tools,3.9227,54.2701,388.0,0.1841
state,RS,5,389d119b48cf3043d311335e499d9c6b,garden_tools,4.1131,54.6954,392.0,0.1531
state,RS,6,53759a2ecddad2bb87a079a1f1519f73,garden_tools,3.8763,54.6574,373.0,0.1387
state,RS,7,e7cc48a9daff5436f63d3aad9426f28b,telephony,3.5269,174.3656,93.0,0.4516
